bus_id,x,y,typ,voltage,frequency,name,operator,ref,source,n_gen,capacity,net_capacity,wkt_srid_4326,region,injection_mw
17196,13.1032748124901,48.6667597238293,substation,380000;220000;110000,50,Umspannwerk Pleinting,"TenneT TSO GmbH, E.ON Netz GmbH",PT,,,,,SRID=4326;POINT(13.1032748124901 48.6667597238293),50Hertz,-11.602182421787377
17202,7.10471844205027,51.481790311093,substation,110000,50,Station Leithe,,,,,,,SRID=4326;POINT(7.10471844205027 51.481790311093),Amprion,-19.98527575691401
17243,6.70974948680676,51.0909358881083,substation,220000;110000,,Station Gohrpunkt,Amprion,,,,,,SRID=4326;POINT(6.70974948680676 51.0909358881083),Amprion,-9.870918445321426
17277,10.3692308423588,52.1670931158588,substation,220000;110000,50,Salzgitter-Hallendorf,TenneT;EON_Netz,,,,,,SRID=4326;POINT(10.3692308423588 52.1670931158588),TenneT,1.453354218712727
17282,6.85737462656164,51.6792555260259,substation,110000,,Station Schermbeck,RWE,,,,,,SRID=4326;POINT(6.85737462656164 51.6792555260259),Amprion,-18.935693324697734
17307,6.94816135823825,51.4445499214343,substation,380000;110000,,Station Rosenblumendelle,RWE,,,,,,SRID=4326;POINT(6.94816135823825 51.4445499214343),Amprion,-17.559028923254676
17319,8.36422513588836,51.9270354299951,substation,380000;220000;110000;10000,50,Umspannwerk Blankenhagen,Amprion,,,,,,SRID=4326;POINT(8.36422513588836 51.9270354299951),Amprion,-18.694662791376487
17348,9.14525357283077,52.8532865542102,substation,220000;110000,50,Wechold,TenneT TSO GmbH;Avacon AG,,,,,,SRID=4326;POINT(9.14525357283077 52.8532865542102),TenneT,-0.8312523369939822
17467,10.0604130936781,54.3488018103611,substation,220000;110000,50,Umspannwerk Kiel West,TenneT,,,,,,SRID=4326;POINT(10.0604130936781 54.3488018103611),50Hertz,56.939368971808385
17498,7.02355531608379,50.9990243352449,substation,220000,50,Station Dünnwald,,,,,,,SRID=4326;POINT(7.02355531608379 50.9990243352449),Amprion,-12.520225296155825
17511,14.4719257134627,51.5537450011006,substation,380000;110000,50,Graustein,50Hertz_Transmission;enviaM,GRS,,,,,SRID=4326;POINT(14.4719257134627 51.5537450011006),50Hertz,70.48445219432261
17614,13.1570839491827,51.8284536372352,substation,380000,50,Umspannwerk Schönewalde,50Hertz,,,,,,SRID=4326;POINT(13.1570839491827 51.8284536372352),50Hertz,10.484736073223242
17627,9.14530446159731,52.2049661331425,sub_station,110000,50,Westendorf,EON_Westfalen_Weser,,,,,,SRID=4326;POINT(9.14530446159731 52.2049661331425),TenneT,-7.047349866255663
17632,12.1677595374271,49.6467726675772,substation,110000,50,Umspannwerk Weiden,E.ON Netz GmbH,,,,,,SRID=4326;POINT(12.1677595374271 49.6467726675772),50Hertz,-10.300064709185998
17701,9.74619344386414,50.9168529888981,substation,380000;110000,50,Mecklar,EON_Netz,,,,,,SRID=4326;POINT(9.74619344386414 50.9168529888981),TenneT,-3.7383728063587025
17739,6.53177546673346,50.3900695468726,substation,380000;110000,,Station Dahlem,Amprion; Westnetz,,,,,,SRID=4326;POINT(6.53177546673346 50.3900695468726),Amprion,45.561746897870776
17814,8.30806397038004,52.3456216256355,substation,380000;220000;110000,50,Wehrendorf,Amprion,,,,,,SRID=4326;POINT(8.30806397038004 52.3456216256355),Amprion,-14.01051378701558
17905,10.8409361207181,48.2379249509995,substation,380000;220000;110000,50,Umspannwerk Oberottmarshausen,Lech-Elektrizitätswerke,173A,,,,,SRID=4326;POINT(10.8409361207181 48.2379249509995),TenneT,-15.308183050020185
18108,12.1870420174299,53.8158258984951,substation,380000;220000,50,Güstrow,50Hertz,,,,,,SRID=4326;POINT(12.1870420174299 53.8158258984951),50Hertz,54.565874226097876
18114,6.74124199044949,51.5130747832637,substation,380000;220000;110000,50,,ThyssenKrupp,,,,,,SRID=4326;POINT(6.74124199044949 51.5130747832637),Amprion,-16.062346264707703
18203,7.29690722031767,53.5330285207248,substation,110000,50,Marienhafe,EON_Netz,,,,,,SRID=4326;POINT(7.29690722031767 53.5330285207248),Amprion,57.42781299028824
18381,8.12069306297629,48.705321435972,substation,220000;110000,50,Umspannwerk Bühl,EnBW,,,,,,SRID=4326;POINT(8.12069306297629 48.705321435972),TransnetBW,-0.16728025620568232
18542,7.22423568177577,53.3499511230945,substation,220000;110000,50,Emden-Borßum,TenneT;EON_Netz,EMDB,,,,,SRID=4326;POINT(7.22423568177577 53.3499511230945),Amprion,4.0867763959045025
18594,8.4969155546084,49.2219301497986,substation,110000;15000,16.7,Unterwerk Wiesental,DB Energie GmbH,,,,,,SRID=4326;POINT(8.4969155546084 49.2219301497986),TransnetBW,-2.5278585887373914
18618,7.31712785521868,53.1282300130834,substation,110000,50,Stapelmoor,EWE,STAP,,,,,SRID=4326;POINT(7.31712785521868 53.1282300130834),Amprion,-1.7100022014658212
18642,6.74539433981265,51.4986616754736,substation,220000,,,,,,,,,SRID=4326;POINT(6.74539433981265 51.4986616754736),Amprion,-15.926308613235932
18691,6.81367542989554,49.7248084788809,substation,380000;110000,50,Station Osburg,Amprion; Westnetz,,,,,,SRID=4326;POINT(6.81367542989554 49.7248084788809),Amprion,-2.212273516469594
18760,8.85635917364785,52.0346220584631,substation,110000,50,,,,,,,,SRID=4326;POINT(8.85635917364785 52.0346220584631),TenneT,-11.499707722980341
18824,9.04558352922656,48.9028275892036,substation,380000;220000;110000,50,380kV-Umspannwerk Pulverdingen,EnBW Transportnetze AG,,,,,,SRID=4326;POINT(9.04558352922656 48.9028275892036),TransnetBW,-4.459958122417715
18888,7.20855834781873,51.5611231822603,station,110000,50,Station Recklinghausen,RWE,,,,,,SRID=4326;POINT(7.20855834781873 51.5611231822603),Amprion,-21.933609182368617
18962,13.5141319295928,52.4846533413973,substation,110000,50,Umspannwerk Trautenauer Straße,Stromnetz Berlin,,,,,,SRID=4326;POINT(13.5141319295928 52.4846533413973),50Hertz,7.87980926776058
18967,8.5386920066933,49.386005322072,substation,110000,50,Umspannwerk Brühl,EnBW,,,,,,SRID=4326;POINT(8.5386920066933 49.386005322072),Amprion,-3.138077545606592
19088,13.4431581653011,52.5176969628457,substation,10000;750,,U-Bahn Gleichrichterwerk Weberwiese,Berliner Verkehrsbetriebe,,,,,,SRID=4326;POINT(13.4431581653011 52.5176969628457),50Hertz,7.132083411941299
19154,7.19511693546842,52.8699045345646,substation,380000;110000,50,Niederlangen,TenneT,NLAN,,,,,SRID=4326;POINT(7.19511693546842 52.8699045345646),Amprion,-8.335878710003284
19177,8.29900235698834,48.9743373044997,substation,110000,50,110kV-Umspannwerk Forchheim,,,,,,,SRID=4326;POINT(8.29900235698834 48.9743373044997),TransnetBW,-1.3181863326164187
19193,8.04859694251943,47.5517010412919,substation,380000;220000,50,Laufenburg,,,,,,,SRID=4326;POINT(8.04859694251943 47.5517010412919),TransnetBW,50.984434114678415
19225,10.1174968226604,48.8970343515789,substation,380000;220000;110000,,Umspannwerk Goldshöfe,EnBW,,,,,,SRID=4326;POINT(10.1174968226604 48.8970343515789),TransnetBW,-11.68150484199724
19255,7.01282481004237,50.6177866237957,substation,220000;110000,50,Station Meckenheim,Westnetz (RWE),,,,,,SRID=4326;POINT(7.01282481004237 50.6177866237957),Amprion,-8.184643002926098
19295,9.2280724945545,51.8124169896607,substation,380000;110000,,Vörden,transpower,,,,,,SRID=4326;POINT(9.2280724945545 51.8124169896607),TenneT,-8.339193010942171
19530,6.81213749497652,51.5196177643219,substation,220000;110000,50,Station Handbach,Amprion,,,,,,SRID=4326;POINT(6.81213749497652 51.5196177643219),Amprion,-16.876694394365252
19523,10.3219379845601,47.6829663148776,substation,220000,50,Schaltwerk Kempten,,,,,,,SRID=4326;POINT(10.3219379845601 47.6829663148776),TransnetBW,43.228932833294955
19781,7.72438959855813,51.4093614295578,substation,220000;110000,50,Umspannwerk Bixterheide,Amprion,,,,,,SRID=4326;POINT(7.72438959855813 51.4093614295578),Amprion,-24.979775572506792
19803,13.2312388958495,52.5394076648605,substation,110000,50,Umspannwerk Uklei,Vattenfall Europe AG,,,,,,SRID=4326;POINT(13.2312388958495 52.5394076648605),50Hertz,5.853192895996919
19954,8.95181560351669,48.7424807524249,substation,110000,50,Netze BW Umspannwerk Magstadt,Netze BW,,,,,,SRID=4326;POINT(8.95181560351669 48.7424807524249),TransnetBW,-3.7672810260330927
20117,14.9465238329262,51.0625934819444,substation,380000;110000,50,Umspannwerk Hagenwerder,50Hertz,HGW,,,,,SRID=4326;POINT(14.9465238329262 51.0625934819444),50Hertz,60.68620606568301
