line_id,bus0,bus1,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326,type,parallel_circuits,voltage_kv,length_km,x_ohm,capacity_mw,susceptance,flow_mw,abs_flow_mw,utilization_pct,severity,bottleneck_score
172304,112711,142234,220000,6,4,50,220kV Fichtenhain Ost+Utfort West,RWE,4539,254.153483860189,,,,,'',"SRID=4326;LINESTRING(6.51791842407388 51.3215548511515,6.52172243798122 51.3225237613827)",line,1,220.0,0.254153483860189,0.16,495.3665309646989,100000.0,75.99110987436264,75.99110987436264,15.34038032936423,normal,3.4739952641097283
112874,114942,115706,380000;220000;110000,12,4;1,,380 KV,RWE,4142,6394.95333705235,,,,,'',"SRID=4326;LINESTRING(6.79245121058072 51.3260616712243,6.7250827745004 51.3432242535811)",line,3,380.0,6.394953337052351,0.6821283559522507,4936.3448015713,100000.0,-85.62974122253708,85.62974122253708,1.7346790928235012,normal,3.4707420884728206
82574,112080,112081,380000;110000,12,4;2,50,380 kV 3011; 220 kV 1046,TenneT,3011;1046,5011.67661743536,,,,,'',"SRID=4326;LINESTRING(8.7577714652905 50.2174866549455,8.68760504659474 50.2195027572366)",line,2,380.0,5.011676617435359,0.8018682587896575,3290.896534380867,100000.0,63.66694478936452,63.66694478936452,1.9346383006642447,normal,3.470167841167572
104188,134317,113456,220000;110000,9,4,50,,,,2341.16788770007,,,,,'',"SRID=4326;LINESTRING(7.18634668056332 51.5504792919462,7.14981755960469 51.5520004900869)",line,2,220.0,2.34116788770007,0.3745868620320112,990.7330619293978,100000.0,-28.44630981837515,28.44630981837515,2.8712385718689486,normal,3.463633699394667
180728,117130,22305,220000;220000;220000;220000;220000;220000;220000;220000;220000,3;3;3;12;3;3;3;3;3,2;2,50;50,,RWE,2472,1351.53632024909,,,,,'',"SRID=4326;LINESTRING(7.88108536742437 52.2655330929783,7.88965787318573 52.2773874121267)",line,8,220.0,1.35153632024909,0.0540614528099636,3962.932247717591,100000.0,160.00994870846165,160.00994870846165,4.037665513979395,normal,3.4524820797951747
181570,23550,17606,220000;220000;220000,3;6;3,1;1;1,50;50;50,220kV Herdecke Süd;220kV Herdecke Süd+Maschine 5;220kV Maschine 5,RWE,2319,419.222769668924,,,,,'',"SRID=4326;LINESTRING(7.45130171454935 51.4130023613852,7.46182245044468 51.4088696475804)",line,3,220.0,0.419222769668924,0.05333333333333334,1486.0995928940965,100000.0,-146.29550135603074,146.29550135603074,9.844259567498325,normal,3.446567578901723
104098,112596,112597,380000,12,4,50,"315, 316, 509, 513",50Hertz Transmission,315;316;509;513,316.655772911591,,,,,'',"SRID=4326;LINESTRING(13.1381055516683 53.905612771508,13.1429138740581 53.9059170678674)",line,1,380.0,0.31665577291159097,0.16,1645.4482671904334,100000.0,-204.77344745915283,204.77344745915283,12.444842632992588,normal,3.423514189122771
92017,113957,113960,110000,3,1,,,,,251.043298695823,,,,,'',"SRID=4326;LINESTRING(8.3235226230121 49.0435286779686,8.32162699809955 49.0416915451491)",line,1,110.0,0.25104329869582304,0.16,247.68326548234944,75625.0,-37.79452326640369,37.79452326640369,15.259215511714505,normal,3.417726163268455
163149,18203,27947,150000;150000;150000;150000,2;2;2,,0;0;0;0,HVDC BorWin1;HVDC BorWin1;HGÜ BorWin1,EON_Netz,,54540.5768292366,,,,,'',"SRID=4326;LINESTRING(7.29690722031767 53.5330285207248,7.31133817564833 53.1257707770975)",line,4,150.0,54.5405768292366,4.363246146338928,1350.9996299037243,5156.711137848387,11.48796602410888,11.48796602410888,0.8503308046744278,normal,3.4158756675552917
157327,112879,134617,220000,6,1,50,220kV Herdecke Nord+Süd,RWE,2314,169.240963117448,,,,,'',"SRID=4326;LINESTRING(7.1201015595006 51.4485596594196,7.12549623603904 51.4486792678061)",line,1,220.0,0.169240963117448,0.16,495.3665309646989,100000.0,-108.0539435029948,108.0539435029948,21.812927751207926,normal,3.410555711833015
